,Ether_dst,Ether_src,IP_id,IP_len,IP_ttl,TCP_dataofs,TCP_dport,TCP_seq,TCP_sport,TCP_window,load_len,IP_proto_icmp,IP_proto_igmp,IP_proto_tcp,IP_proto_udp,TCP_flags_A,TCP_flags_FA,TCP_flags_PA,TCP_flags_R,TCP_flags_RA,TCP_flags_S,TCP_flags_SA,label_src
1044,e0:55:3d:02:41:21,84:38:35:5a:70:40,17794.0,52.0,64.0,8.0,334.0,3947997800.0,59562.0,3963.0,,0,0,1,0,1,0,0,0,0,0,0,1
1053,e0:55:3d:02:41:21,84:38:35:5a:70:40,14443.0,52.0,64.0,8.0,334.0,3947997800.0,59562.0,4051.0,,0,0,1,0,1,0,0,0,0,0,0,1
1064,e0:55:3d:02:41:21,84:38:35:5a:70:40,64704.0,52.0,64.0,8.0,334.0,3947997800.0,59562.0,4051.0,,0,0,1,0,1,0,0,0,0,0,0,1
1071,e0:55:3d:02:41:21,84:38:35:5a:70:40,10994.0,52.0,64.0,8.0,334.0,3947997800.0,59562.0,4007.0,,0,0,1,0,1,0,0,0,0,0,0,1
1081,e0:55:3d:02:41:21,84:38:35:5a:70:40,39195.0,52.0,64.0,8.0,334.0,3947997800.0,59562.0,4007.0,,0,0,1,0,1,0,0,0,0,0,0,1
1082,e0:55:3d:02:41:21,44:65:0d:90:60:3a,202.0,52.0,64.0,8.0,4070.0,3799790174.0,51570.0,8170.0,,0,0,1,0,1,0,0,0,0,0,0,3
1091,e0:55:3d:02:41:21,84:38:35:5a:70:40,45617.0,52.0,64.0,8.0,334.0,3947997800.0,59562.0,4051.0,,0,0,1,0,1,0,0,0,0,0,0,1
1099,e0:55:3d:02:41:21,84:38:35:5a:70:40,25448.0,52.0,64.0,8.0,334.0,3947997800.0,59562.0,4007.0,,0,0,1,0,1,0,0,0,0,0,0,1
1102,e0:55:3d:02:41:21,84:38:35:5a:70:40,51738.0,98.0,64.0,8.0,334.0,3947997800.0,59562.0,4096.0,153.0,0,0,1,0,0,0,1,0,0,0,0,1
1111,e0:55:3d:02:41:21,84:38:35:5a:70:40,59441.0,52.0,64.0,8.0,334.0,3947997846.0,59562.0,4007.0,,0,0,1,0,1,0,0,0,0,0,0,1
1118,e0:55:3d:02:41:21,84:38:35:5a:70:40,5801.0,52.0,64.0,8.0,334.0,3947997846.0,59562.0,3874.0,,0,0,1,0,1,0,0,0,0,0,0,1
1119,e0:55:3d:02:41:21,84:38:35:5a:70:40,34533.0,52.0,64.0,8.0,334.0,3947997846.0,59562.0,4061.0,,0,0,1,0,1,0,0,0,0,0,0,1
1123,e0:55:3d:02:41:21,84:38:35:5a:70:40,22551.0,1107.0,64.0,8.0,334.0,3947997846.0,59562.0,4096.0,3068.0,0,0,1,0,0,0,1,0,0,0,0,1
1128,e0:55:3d:02:41:21,84:38:35:5a:70:40,8314.0,52.0,64.0,8.0,334.0,3947998901.0,59562.0,4092.0,,0,0,1,0,1,0,0,0,0,0,0,1
1129,e0:55:3d:02:41:21,84:38:35:5a:70:40,6333.0,52.0,64.0,8.0,334.0,3947998901.0,59562.0,4074.0,,0,0,1,0,1,0,0,0,0,0,0,1
1130,e0:55:3d:02:41:21,84:38:35:5a:70:40,14991.0,52.0,64.0,8.0,334.0,3947998901.0,59562.0,4073.0,,0,0,1,0,1,0,0,0,0,0,0,1
1131,e0:55:3d:02:41:21,84:38:35:5a:70:40,26925.0,98.0,64.0,8.0,334.0,3947998901.0,59562.0,4096.0,152.0,0,0,1,0,0,0,1,0,0,0,0,1
1132,e0:55:3d:02:41:21,84:38:35:5a:70:40,29072.0,276.0,64.0,8.0,334.0,3947998947.0,59562.0,4096.0,647.0,0,0,1,0,0,0,1,0,0,0,0,1
1133,e0:55:3d:02:41:21,84:38:35:5a:70:40,13318.0,254.0,64.0,8.0,334.0,3947999171.0,59562.0,4096.0,586.0,0,0,1,0,0,0,1,0,0,0,0,1
1134,e0:55:3d:02:41:21,84:38:35:5a:70:40,49963.0,336.0,64.0,8.0,334.0,3947999373.0,59562.0,4096.0,843.0,0,0,1,0,0,0,1,0,0,0,0,1
1137,e0:55:3d:02:41:21,84:38:35:5a:70:40,16611.0,40.0,64.0,5.0,8080.0,3652591194.0,59530.0,8192.0,,0,0,1,0,1,0,0,0,0,0,0,1
1141,e0:55:3d:02:41:21,84:38:35:5a:70:40,17261.0,52.0,64.0,8.0,334.0,3947999657.0,59562.0,4091.0,,0,0,1,0,1,0,0,0,0,0,0,1
1142,e0:55:3d:02:41:21,84:38:35:5a:70:40,17721.0,52.0,64.0,8.0,334.0,3947999657.0,59562.0,4082.0,,0,0,1,0,1,0,0,0,0,0,0,1
1143,e0:55:3d:02:41:21,84:38:35:5a:70:40,56366.0,52.0,64.0,8.0,334.0,3947999657.0,59562.0,4080.0,,0,0,1,0,1,0,0,0,0,0,0,1
1144,e0:55:3d:02:41:21,84:38:35:5a:70:40,12596.0,98.0,64.0,8.0,334.0,3947999657.0,59562.0,4096.0,136.0,0,0,1,0,0,0,1,0,0,0,0,1
1145,e0:55:3d:02:41:21,84:38:35:5a:70:40,39779.0,40.0,64.0,5.0,334.0,633373246.0,58610.0,8192.0,,0,0,1,0,1,0,0,0,0,0,0,1
1149,e0:55:3d:02:41:21,84:38:35:5a:70:40,41667.0,52.0,64.0,8.0,334.0,3947999703.0,59562.0,4088.0,,0,0,1,0,1,0,0,0,0,0,0,1
1150,e0:55:3d:02:41:21,84:38:35:5a:70:40,64018.0,52.0,64.0,8.0,334.0,3947999703.0,59562.0,4084.0,,0,0,1,0,1,0,0,0,0,0,0,1
1155,e0:55:3d:02:41:21,84:38:35:5a:70:40,18033.0,52.0,64.0,8.0,334.0,3947999703.0,59562.0,4089.0,,0,0,1,0,1,0,0,0,0,0,0,1
1156,e0:55:3d:02:41:21,84:38:35:5a:70:40,7965.0,52.0,64.0,8.0,334.0,3947999703.0,59562.0,4080.0,,0,0,1,0,1,0,0,0,0,0,0,1
1157,e0:55:3d:02:41:21,84:38:35:5a:70:40,50391.0,52.0,64.0,8.0,334.0,3947999703.0,59562.0,4078.0,,0,0,1,0,1,0,0,0,0,0,0,1
1158,e0:55:3d:02:41:21,84:38:35:5a:70:40,40965.0,98.0,64.0,8.0,334.0,3947999703.0,59562.0,4096.0,143.0,0,0,1,0,0,0,1,0,0,0,0,1
1159,e0:55:3d:02:41:21,84:38:35:5a:70:40,52479.0,280.0,64.0,8.0,334.0,3947999749.0,59562.0,4096.0,627.0,0,0,1,0,0,0,1,0,0,0,0,1
1164,e0:55:3d:02:41:21,84:38:35:5a:70:40,18744.0,52.0,64.0,8.0,334.0,3947999977.0,59562.0,4090.0,,0,0,1,0,1,0,0,0,0,0,0,1
1165,e0:55:3d:02:41:21,84:38:35:5a:70:40,56256.0,52.0,64.0,8.0,334.0,3947999977.0,59562.0,4071.0,,0,0,1,0,1,0,0,0,0,0,0,1
1166,e0:55:3d:02:41:21,84:38:35:5a:70:40,16866.0,52.0,64.0,8.0,334.0,3947999977.0,59562.0,4070.0,,0,0,1,0,1,0,0,0,0,0,0,1
1167,e0:55:3d:02:41:21,84:38:35:5a:70:40,37942.0,98.0,64.0,8.0,334.0,3947999977.0,59562.0,4096.0,158.0,0,0,1,0,0,0,1,0,0,0,0,1
1168,e0:55:3d:02:41:21,84:38:35:5a:70:40,42250.0,592.0,64.0,8.0,334.0,3948000023.0,59562.0,4096.0,1558.0,0,0,1,0,0,0,1,0,0,0,0,1
1169,e0:55:3d:02:41:21,84:38:35:5a:70:40,25028.0,266.0,64.0,8.0,334.0,3948000563.0,59562.0,4096.0,635.0,0,0,1,0,0,0,1,0,0,0,0,1
1170,e0:55:3d:02:41:21,84:38:35:5a:70:40,27951.0,266.0,64.0,8.0,334.0,3948000777.0,59562.0,4096.0,621.0,0,0,1,0,0,0,1,0,0,0,0,1
1171,e0:55:3d:02:41:21,84:38:35:5a:70:40,42629.0,266.0,64.0,8.0,334.0,3948000991.0,59562.0,4096.0,647.0,0,0,1,0,0,0,1,0,0,0,0,1
1172,e0:55:3d:02:41:21,84:38:35:5a:70:40,65248.0,266.0,64.0,8.0,334.0,3948001205.0,59562.0,4096.0,630.0,0,0,1,0,0,0,1,0,0,0,0,1
1173,e0:55:3d:02:41:21,84:38:35:5a:70:40,63963.0,217.0,64.0,8.0,334.0,3948001419.0,59562.0,4096.0,485.0,0,0,1,0,0,0,1,0,0,0,0,1
1174,e0:55:3d:02:41:21,84:38:35:5a:70:40,54114.0,217.0,64.0,8.0,334.0,3948001584.0,59562.0,4096.0,488.0,0,0,1,0,0,0,1,0,0,0,0,1
1175,e0:55:3d:02:41:21,84:38:35:5a:70:40,41908.0,217.0,64.0,8.0,334.0,3948001749.0,59562.0,4096.0,508.0,0,0,1,0,0,0,1,0,0,0,0,1
1176,e0:55:3d:02:41:21,84:38:35:5a:70:40,31529.0,217.0,64.0,8.0,334.0,3948001914.0,59562.0,4096.0,472.0,0,0,1,0,0,0,1,0,0,0,0,1
1177,e0:55:3d:02:41:21,84:38:35:5a:70:40,61719.0,217.0,64.0,8.0,334.0,3948002079.0,59562.0,4096.0,501.0,0,0,1,0,0,0,1,0,0,0,0,1
1178,e0:55:3d:02:41:21,84:38:35:5a:70:40,18445.0,217.0,64.0,8.0,334.0,3948002244.0,59562.0,4096.0,516.0,0,0,1,0,0,0,1,0,0,0,0,1
1179,e0:55:3d:02:41:21,84:38:35:5a:70:40,31527.0,266.0,64.0,8.0,334.0,3948002409.0,59562.0,4096.0,653.0,0,0,1,0,0,0,1,0,0,0,0,1
1180,e0:55:3d:02:41:21,84:38:35:5a:70:40,7239.0,266.0,64.0,8.0,334.0,3948002623.0,59562.0,4096.0,635.0,0,0,1,0,0,0,1,0,0,0,0,1
1181,e0:55:3d:02:41:21,84:38:35:5a:70:40,34824.0,266.0,64.0,8.0,334.0,3948002837.0,59562.0,4096.0,654.0,0,0,1,0,0,0,1,0,0,0,0,1
1182,e0:55:3d:02:41:21,84:38:35:5a:70:40,45082.0,266.0,64.0,8.0,334.0,3948003051.0,59562.0,4096.0,626.0,0,0,1,0,0,0,1,0,0,0,0,1
1191,e0:55:3d:02:41:21,84:38:35:5a:70:40,59191.0,52.0,64.0,8.0,334.0,3948003265.0,59562.0,4091.0,,0,0,1,0,1,0,0,0,0,0,0,1
1192,e0:55:3d:02:41:21,84:38:35:5a:70:40,48297.0,52.0,64.0,8.0,334.0,3948003265.0,59562.0,4047.0,,0,0,1,0,1,0,0,0,0,0,0,1
1195,e0:55:3d:02:41:21,84:38:35:5a:70:40,63032.0,52.0,64.0,8.0,334.0,3948003265.0,59562.0,4096.0,,0,0,1,0,1,0,0,0,0,0,0,1
1197,e0:55:3d:02:41:21,84:38:35:5a:70:40,52406.0,52.0,64.0,8.0,334.0,3948003265.0,59562.0,4051.0,,0,0,1,0,1,0,0,0,0,0,0,1
1199,e0:55:3d:02:41:21,84:38:35:5a:70:40,36997.0,52.0,64.0,8.0,334.0,3948003265.0,59562.0,4096.0,,0,0,1,0,1,0,0,0,0,0,0,1
1203,e0:55:3d:02:41:21,84:38:35:5a:70:40,14044.0,52.0,64.0,8.0,334.0,3948003265.0,59562.0,4007.0,,0,0,1,0,1,0,0,0,0,0,0,1
1204,e0:55:3d:02:41:21,84:38:35:5a:70:40,26250.0,52.0,64.0,8.0,334.0,3948003265.0,59562.0,4096.0,,0,0,1,0,1,0,0,0,0,0,0,1
1211,e0:55:3d:02:41:21,84:38:35:5a:70:40,12131.0,98.0,64.0,8.0,334.0,3948003265.0,59562.0,4096.0,131.0,0,0,1,0,0,0,1,0,0,0,0,1
1214,e0:55:3d:02:41:21,84:38:35:5a:70:40,47207.0,267.0,64.0,8.0,334.0,3948003311.0,59562.0,4096.0,622.0,0,0,1,0,0,0,1,0,0,0,0,1
1215,e0:55:3d:02:41:21,84:38:35:5a:70:40,46165.0,266.0,64.0,8.0,334.0,3948003526.0,59562.0,4096.0,622.0,0,0,1,0,0,0,1,0,0,0,0,1
1216,e0:55:3d:02:41:21,84:38:35:5a:70:40,32554.0,267.0,64.0,8.0,334.0,3948003740.0,59562.0,4096.0,633.0,0,0,1,0,0,0,1,0,0,0,0,1
1217,e0:55:3d:02:41:21,84:38:35:5a:70:40,29424.0,267.0,64.0,8.0,334.0,3948003955.0,59562.0,4096.0,627.0,0,0,1,0,0,0,1,0,0,0,0,1
1218,e0:55:3d:02:41:21,84:38:35:5a:70:40,45616.0,267.0,64.0,8.0,334.0,3948004170.0,59562.0,4096.0,648.0,0,0,1,0,0,0,1,0,0,0,0,1
1219,e0:55:3d:02:41:21,84:38:35:5a:70:40,44454.0,267.0,64.0,8.0,334.0,3948004385.0,59562.0,4096.0,656.0,0,0,1,0,0,0,1,0,0,0,0,1
1220,e0:55:3d:02:41:21,84:38:35:5a:70:40,55140.0,267.0,64.0,8.0,334.0,3948004600.0,59562.0,4096.0,620.0,0,0,1,0,0,0,1,0,0,0,0,1
1221,e0:55:3d:02:41:21,84:38:35:5a:70:40,54588.0,267.0,64.0,8.0,334.0,3948004815.0,59562.0,4096.0,640.0,0,0,1,0,0,0,1,0,0,0,0,1
1222,e0:55:3d:02:41:21,84:38:35:5a:70:40,6254.0,267.0,64.0,8.0,334.0,3948005030.0,59562.0,4096.0,651.0,0,0,1,0,0,0,1,0,0,0,0,1
1223,e0:55:3d:02:41:21,84:38:35:5a:70:40,14485.0,267.0,64.0,8.0,334.0,3948005245.0,59562.0,4096.0,642.0,0,0,1,0,0,0,1,0,0,0,0,1
1224,e0:55:3d:02:41:21,84:38:35:5a:70:40,26301.0,267.0,64.0,8.0,334.0,3948005460.0,59562.0,4096.0,660.0,0,0,1,0,0,0,1,0,0,0,0,1
1225,e0:55:3d:02:41:21,84:38:35:5a:70:40,43833.0,267.0,64.0,8.0,334.0,3948005675.0,59562.0,4096.0,647.0,0,0,1,0,0,0,1,0,0,0,0,1
1227,e0:55:3d:02:41:21,84:38:35:5a:70:40,17258.0,267.0,64.0,8.0,334.0,3948005890.0,59562.0,4096.0,621.0,0,0,1,0,0,0,1,0,0,0,0,1
1228,e0:55:3d:02:41:21,84:38:35:5a:70:40,12918.0,267.0,64.0,8.0,334.0,3948006105.0,59562.0,4096.0,627.0,0,0,1,0,0,0,1,0,0,0,0,1
1229,e0:55:3d:02:41:21,84:38:35:5a:70:40,46176.0,267.0,64.0,8.0,334.0,3948006320.0,59562.0,4096.0,642.0,0,0,1,0,0,0,1,0,0,0,0,1
1230,e0:55:3d:02:41:21,84:38:35:5a:70:40,21535.0,267.0,64.0,8.0,334.0,3948006535.0,59562.0,4096.0,645.0,0,0,1,0,0,0,1,0,0,0,0,1
1231,e0:55:3d:02:41:21,84:38:35:5a:70:40,15420.0,266.0,64.0,8.0,334.0,3948006750.0,59562.0,4096.0,649.0,0,0,1,0,0,0,1,0,0,0,0,1
1232,e0:55:3d:02:41:21,84:38:35:5a:70:40,58766.0,266.0,64.0,8.0,334.0,3948006964.0,59562.0,4007.0,650.0,0,0,1,0,0,0,1,0,0,0,0,1
1233,e0:55:3d:02:41:21,84:38:35:5a:70:40,23333.0,582.0,64.0,8.0,334.0,3948007178.0,59562.0,4007.0,1521.0,0,0,1,0,0,0,1,0,0,0,0,1
1234,e0:55:3d:02:41:21,84:38:35:5a:70:40,25582.0,265.0,64.0,8.0,334.0,3948007708.0,59562.0,4007.0,656.0,0,0,1,0,0,0,1,0,0,0,0,1
1235,e0:55:3d:02:41:21,84:38:35:5a:70:40,40022.0,266.0,64.0,8.0,334.0,3948007921.0,59562.0,4007.0,619.0,0,0,1,0,0,0,1,0,0,0,0,1
1238,e0:55:3d:02:41:21,84:38:35:5a:70:40,28593.0,266.0,64.0,8.0,334.0,3948008135.0,59562.0,4007.0,584.0,0,0,1,0,0,0,1,0,0,0,0,1
1239,e0:55:3d:02:41:21,84:38:35:5a:70:40,10629.0,266.0,64.0,8.0,334.0,3948008349.0,59562.0,4007.0,637.0,0,0,1,0,0,0,1,0,0,0,0,1
1240,e0:55:3d:02:41:21,84:38:35:5a:70:40,22919.0,265.0,64.0,8.0,334.0,3948008563.0,59562.0,4007.0,595.0,0,0,1,0,0,0,1,0,0,0,0,1
1241,e0:55:3d:02:41:21,84:38:35:5a:70:40,31171.0,266.0,64.0,8.0,334.0,3948008776.0,59562.0,4007.0,618.0,0,0,1,0,0,0,1,0,0,0,0,1
1242,e0:55:3d:02:41:21,84:38:35:5a:70:40,53999.0,266.0,64.0,8.0,334.0,3948008990.0,59562.0,4007.0,609.0,0,0,1,0,0,0,1,0,0,0,0,1
1243,e0:55:3d:02:41:21,84:38:35:5a:70:40,40046.0,266.0,64.0,8.0,334.0,3948009204.0,59562.0,4007.0,650.0,0,0,1,0,0,0,1,0,0,0,0,1
1244,e0:55:3d:02:41:21,84:38:35:5a:70:40,6636.0,265.0,64.0,8.0,334.0,3948009418.0,59562.0,4007.0,626.0,0,0,1,0,0,0,1,0,0,0,0,1
1245,e0:55:3d:02:41:21,84:38:35:5a:70:40,27078.0,266.0,64.0,8.0,334.0,3948009631.0,59562.0,4007.0,637.0,0,0,1,0,0,0,1,0,0,0,0,1
1248,e0:55:3d:02:41:21,84:38:35:5a:70:40,19700.0,266.0,64.0,8.0,334.0,3948009845.0,59562.0,3963.0,630.0,0,0,1,0,0,0,1,0,0,0,0,1
1250,e0:55:3d:02:41:21,84:38:35:5a:70:40,21953.0,266.0,64.0,8.0,334.0,3948010059.0,59562.0,3963.0,621.0,0,0,1,0,0,0,1,0,0,0,0,1
1251,e0:55:3d:02:41:21,84:38:35:5a:70:40,20763.0,265.0,64.0,8.0,334.0,3948010273.0,59562.0,3963.0,655.0,0,0,1,0,0,0,1,0,0,0,0,1
1252,e0:55:3d:02:41:21,84:38:35:5a:70:40,23001.0,266.0,64.0,8.0,334.0,3948010486.0,59562.0,3963.0,626.0,0,0,1,0,0,0,1,0,0,0,0,1
1254,e0:55:3d:02:41:21,84:38:35:5a:70:40,65177.0,266.0,64.0,8.0,334.0,3948010700.0,59562.0,3963.0,640.0,0,0,1,0,0,0,1,0,0,0,0,1
1255,e0:55:3d:02:41:21,84:38:35:5a:70:40,3052.0,266.0,64.0,8.0,334.0,3948010914.0,59562.0,3963.0,626.0,0,0,1,0,0,0,1,0,0,0,0,1
1256,e0:55:3d:02:41:21,84:38:35:5a:70:40,43117.0,265.0,64.0,8.0,334.0,3948011128.0,59562.0,3963.0,642.0,0,0,1,0,0,0,1,0,0,0,0,1
1257,e0:55:3d:02:41:21,84:38:35:5a:70:40,54548.0,266.0,64.0,8.0,334.0,3948011341.0,59562.0,3963.0,659.0,0,0,1,0,0,0,1,0,0,0,0,1
1258,e0:55:3d:02:41:21,84:38:35:5a:70:40,40527.0,266.0,64.0,8.0,334.0,3948011555.0,59562.0,3963.0,667.0,0,0,1,0,0,0,1,0,0,0,0,1
1259,e0:55:3d:02:41:21,84:38:35:5a:70:40,54064.0,266.0,64.0,8.0,334.0,3948011769.0,59562.0,3963.0,637.0,0,0,1,0,0,0,1,0,0,0,0,1
1260,e0:55:3d:02:41:21,84:38:35:5a:70:40,25841.0,620.0,64.0,8.0,334.0,3948011983.0,59562.0,3963.0,1667.0,0,0,1,0,0,0,1,0,0,0,0,1
1263,e0:55:3d:02:41:21,84:38:35:5a:70:40,32839.0,52.0,64.0,8.0,334.0,3948012551.0,59562.0,3963.0,,0,0,1,0,1,0,0,0,0,0,0,1
1270,e0:55:3d:02:41:21,84:38:35:5a:70:40,59423.0,40.0,64.0,5.0,8080.0,1248261768.0,59531.0,8192.0,,0,0,1,0,1,0,0,0,0,0,0,1
1278,e0:55:3d:02:41:21,84:38:35:5a:70:40,59413.0,52.0,64.0,8.0,334.0,3948012551.0,59562.0,4007.0,,0,0,1,0,1,0,0,0,0,0,0,1
1287,e0:55:3d:02:41:21,84:38:35:5a:70:40,17514.0,52.0,64.0,8.0,334.0,3948012551.0,59562.0,4007.0,,0,0,1,0,1,0,0,0,0,0,0,1
1295,e0:55:3d:02:41:21,84:38:35:5a:70:40,1075.0,52.0,64.0,8.0,334.0,3948012551.0,59562.0,4007.0,,0,0,1,0,1,0,0,0,0,0,0,1
1306,e0:55:3d:02:41:21,84:38:35:5a:70:40,14492.0,52.0,64.0,8.0,334.0,3948012551.0,59562.0,4051.0,,0,0,1,0,1,0,0,0,0,0,0,1
1314,e0:55:3d:02:41:21,84:38:35:5a:70:40,24447.0,52.0,64.0,8.0,334.0,3948012551.0,59562.0,3963.0,,0,0,1,0,1,0,0,0,0,0,0,1
1325,e0:55:3d:02:41:21,84:38:35:5a:70:40,50321.0,52.0,64.0,8.0,334.0,3948012551.0,59562.0,4007.0,,0,0,1,0,1,0,0,0,0,0,0,1
1326,e0:55:3d:02:41:21,84:38:35:5a:70:40,27286.0,314.0,64.0,8.0,334.0,3948012551.0,59562.0,4007.0,772.0,0,0,1,0,0,0,1,0,0,0,0,1
1333,e0:55:3d:02:41:21,84:38:35:5a:70:40,53923.0,327.0,64.0,8.0,334.0,3948012813.0,59562.0,4096.0,763.0,0,0,1,0,0,0,1,0,0,0,0,1
1340,e0:55:3d:02:41:21,84:38:35:5a:70:40,8424.0,52.0,64.0,8.0,334.0,3948013088.0,59562.0,4051.0,,0,0,1,0,1,0,0,0,0,0,0,1
1350,e0:55:3d:02:41:21,84:38:35:5a:70:40,11496.0,52.0,64.0,8.0,334.0,3948013088.0,59562.0,4007.0,,0,0,1,0,1,0,0,0,0,0,0,1
1359,e0:55:3d:02:41:21,84:38:35:5a:70:40,22721.0,52.0,64.0,8.0,334.0,3948013088.0,59562.0,4007.0,,0,0,1,0,1,0,0,0,0,0,0,1
1368,e0:55:3d:02:41:21,84:38:35:5a:70:40,7664.0,52.0,64.0,8.0,334.0,3948013088.0,59562.0,4007.0,,0,0,1,0,1,0,0,0,0,0,0,1
1369,e0:55:3d:02:41:21,84:38:35:5a:70:40,26019.0,52.0,64.0,8.0,334.0,3948013088.0,59562.0,4096.0,,0,0,1,0,1,0,0,0,0,0,0,1
1373,e0:55:3d:02:41:21,84:38:35:5a:70:40,39736.0,52.0,64.0,8.0,334.0,3948013088.0,59562.0,4051.0,,0,0,1,0,1,0,0,0,0,0,0,1
1375,e0:55:3d:02:41:21,84:38:35:5a:70:40,42761.0,52.0,64.0,8.0,334.0,3948013088.0,59562.0,4007.0,,0,0,1,0,1,0,0,0,0,0,0,1
1376,e0:55:3d:02:41:21,84:38:35:5a:70:40,3369.0,52.0,64.0,8.0,334.0,3948013088.0,59562.0,4096.0,,0,0,1,0,1,0,0,0,0,0,0,1
1379,e0:55:3d:02:41:21,84:38:35:5a:70:40,42777.0,52.0,64.0,8.0,334.0,3948013088.0,59562.0,4051.0,,0,0,1,0,1,0,0,0,0,0,0,1
1390,e0:55:3d:02:41:21,84:38:35:5a:70:40,1397.0,52.0,64.0,8.0,334.0,3948013088.0,59562.0,4051.0,,0,0,1,0,1,0,0,0,0,0,0,1
1395,e0:55:3d:02:41:21,84:38:35:5a:70:40,48007.0,98.0,64.0,8.0,334.0,3948013088.0,59562.0,4096.0,145.0,0,0,1,0,0,0,1,0,0,0,0,1
1406,e0:55:3d:02:41:21,84:38:35:5a:70:40,16025.0,52.0,64.0,8.0,334.0,3948013134.0,59562.0,4007.0,,0,0,1,0,1,0,0,0,0,0,0,1
1415,e0:55:3d:02:41:21,84:38:35:5a:70:40,17903.0,52.0,64.0,8.0,334.0,3948013134.0,59562.0,4007.0,,0,0,1,0,1,0,0,0,0,0,0,1
1423,e0:55:3d:02:41:21,84:38:35:5a:70:40,8702.0,52.0,64.0,8.0,334.0,3948013134.0,59562.0,4051.0,,0,0,1,0,1,0,0,0,0,0,0,1
1433,e0:55:3d:02:41:21,84:38:35:5a:70:40,17998.0,52.0,64.0,8.0,334.0,3948013134.0,59562.0,4007.0,,0,0,1,0,1,0,0,0,0,0,0,1
1440,e0:55:3d:02:41:21,84:38:35:5a:70:40,39831.0,52.0,64.0,8.0,334.0,3948013134.0,59562.0,4051.0,,0,0,1,0,1,0,0,0,0,0,0,1
1455,e0:55:3d:02:41:21,84:38:35:5a:70:40,34235.0,52.0,64.0,8.0,334.0,3948013134.0,59562.0,4051.0,,0,0,1,0,1,0,0,0,0,0,0,1
1460,e0:55:3d:02:41:21,84:38:35:5a:70:40,19071.0,52.0,64.0,8.0,334.0,3948013134.0,59562.0,4007.0,,0,0,1,0,1,0,0,0,0,0,0,1
1467,e0:55:3d:02:41:21,84:38:35:5a:70:40,19056.0,52.0,64.0,8.0,334.0,3948013134.0,59562.0,4007.0,,0,0,1,0,1,0,0,0,0,0,0,1
1477,e0:55:3d:02:41:21,84:38:35:5a:70:40,38184.0,52.0,64.0,8.0,334.0,3948013134.0,59562.0,4051.0,,0,0,1,0,1,0,0,0,0,0,0,1
1485,e0:55:3d:02:41:21,84:38:35:5a:70:40,48378.0,52.0,64.0,8.0,334.0,3948013134.0,59562.0,3918.0,,0,0,1,0,1,0,0,0,0,0,0,1
1491,e0:55:3d:02:41:21,84:38:35:5a:70:40,9454.0,40.0,64.0,5.0,334.0,3619711886.0,59628.0,4096.0,,0,0,1,0,1,0,0,0,0,0,0,1
1495,e0:55:3d:02:41:21,84:38:35:5a:70:40,13523.0,245.0,64.0,8.0,334.0,3948013134.0,59562.0,4096.0,549.0,0,0,1,0,0,0,1,0,0,0,0,1
1498,e0:55:3d:02:41:21,84:38:35:5a:70:40,28399.0,245.0,64.0,8.0,334.0,3948013327.0,59562.0,4096.0,534.0,0,0,1,0,0,0,1,0,0,0,0,1
1501,e0:55:3d:02:41:21,84:38:35:5a:70:40,42639.0,245.0,64.0,8.0,334.0,3948013520.0,59562.0,4096.0,554.0,0,0,1,0,0,0,1,0,0,0,0,1
1502,e0:55:3d:02:41:21,84:38:35:5a:70:40,3553.0,245.0,64.0,8.0,334.0,3948013713.0,59562.0,4007.0,601.0,0,0,1,0,0,0,1,0,0,0,0,1
1512,e0:55:3d:02:41:21,84:38:35:5a:70:40,25057.0,52.0,64.0,8.0,334.0,3948013906.0,59562.0,4051.0,,0,0,1,0,1,0,0,0,0,0,0,1
1518,e0:55:3d:02:41:21,84:38:35:5a:70:40,13770.0,245.0,64.0,8.0,334.0,3948013906.0,59562.0,4096.0,586.0,0,0,1,0,0,0,1,0,0,0,0,1
1520,e0:55:3d:02:41:21,84:38:35:5a:70:40,28990.0,245.0,64.0,8.0,334.0,3948014099.0,59562.0,4096.0,535.0,0,0,1,0,0,0,1,0,0,0,0,1
1521,e0:55:3d:02:41:21,84:38:35:5a:70:40,7484.0,253.0,64.0,8.0,334.0,3948014292.0,59562.0,4096.0,559.0,0,0,1,0,0,0,1,0,0,0,0,1
1528,e0:55:3d:02:41:21,84:38:35:5a:70:40,65431.0,52.0,64.0,8.0,334.0,3948014493.0,59562.0,3830.0,,0,0,1,0,1,0,0,0,0,0,0,1
1539,e0:55:3d:02:41:21,84:38:35:5a:70:40,3032.0,314.0,64.0,8.0,334.0,3948014493.0,59562.0,4096.0,753.0,0,0,1,0,0,0,1,0,0,0,0,1
1544,e0:55:3d:02:41:21,84:38:35:5a:70:40,34998.0,52.0,64.0,8.0,334.0,3948014755.0,59562.0,4051.0,,0,0,1,0,1,0,0,0,0,0,0,1
1554,e0:55:3d:02:41:21,84:38:35:5a:70:40,47459.0,52.0,64.0,8.0,334.0,3948014755.0,59562.0,4051.0,,0,0,1,0,1,0,0,0,0,0,0,1
1555,e0:55:3d:02:41:21,84:38:35:5a:70:40,3364.0,52.0,64.0,8.0,334.0,3948014755.0,59562.0,3963.0,,0,0,1,0,1,0,0,0,0,0,0,1
1556,e0:55:3d:02:41:21,84:38:35:5a:70:40,7385.0,52.0,64.0,8.0,334.0,3948014755.0,59562.0,4096.0,,0,0,1,0,1,0,0,0,0,0,0,1
