,Ether_dst,Ether_src,IP_id,IP_len,IP_ttl,TCP_dataofs,TCP_dport,TCP_seq,TCP_sport,TCP_window,load_len,IP_proto_icmp,IP_proto_igmp,IP_proto_tcp,IP_proto_udp,TCP_flags_A,TCP_flags_FA,TCP_flags_PA,TCP_flags_R,TCP_flags_RA,TCP_flags_S,TCP_flags_SA,label_src
103,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,31989.0,84.0,64.0,,,,,,222.0,1,0,0,0,0,0,0,0,0,0,0,3
107,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,31990.0,84.0,64.0,,,,,,222.0,1,0,0,0,0,0,0,0,0,0,0,3
109,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,5096.0,84.0,64.0,,,,,,222.0,1,0,0,0,0,0,0,0,0,0,0,3
110,e0:55:3d:02:41:21,28:f0:76:31:d3:58,3046.0,40.0,64.0,5.0,334.0,2543234825.0,62476.0,4096.0,,0,0,1,0,1,0,0,0,0,0,0,1
112,e0:55:3d:02:41:21,84:38:35:5a:70:40,4663.0,479.0,64.0,8.0,334.0,3463308387.0,59554.0,9675.0,1233.0,0,0,1,0,0,0,1,0,0,0,0,1
113,e0:55:3d:02:41:21,84:38:35:5a:70:40,50960.0,1436.0,64.0,8.0,334.0,3463308814.0,59554.0,9675.0,3910.0,0,0,1,0,1,0,0,0,0,0,0,1
114,e0:55:3d:02:41:21,84:38:35:5a:70:40,55115.0,543.0,64.0,8.0,334.0,3463310198.0,59554.0,9675.0,1431.0,0,0,1,0,0,0,1,0,0,0,0,1
115,e0:55:3d:02:41:21,84:38:35:5a:70:40,63668.0,40.0,64.0,5.0,8080.0,435743415.0,59543.0,8188.0,,0,0,1,0,1,0,0,0,0,0,0,1
116,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,5097.0,84.0,64.0,,,,,,222.0,1,0,0,0,0,0,0,0,0,0,0,3
120,e0:55:3d:02:41:21,84:38:35:5a:70:40,61915.0,1036.0,64.0,8.0,334.0,2980370659.0,59560.0,4096.0,2796.0,0,0,1,0,0,0,1,0,0,0,0,1
