,Ether_dst,Ether_src,IP_id,IP_len,IP_proto,IP_ttl,TCP_dataofs,TCP_dport,TCP_flags,TCP_seq,TCP_sport,TCP_window,load_len
2884,84:38:35:5a:70:40,e0:55:3d:02:41:21,900.0,537.0,tcp,58.0,8.0,59562.0,PA,2606514813.0,334.0,811.0,1394.0
2885,e0:55:3d:02:41:21,84:38:35:5a:70:40,563.0,52.0,tcp,64.0,8.0,334.0,A,3948039471.0,59562.0,5047.0,
2886,e0:55:3d:02:41:21,84:38:35:5a:70:40,45729.0,52.0,tcp,64.0,8.0,334.0,A,3948039471.0,59562.0,5036.0,
2887,e0:55:3d:02:41:21,84:38:35:5a:70:40,45246.0,52.0,tcp,64.0,8.0,334.0,A,3948039471.0,59562.0,5035.0,
2888,e0:55:3d:02:41:21,84:38:35:5a:70:40,37507.0,52.0,tcp,64.0,8.0,334.0,A,3948039471.0,59562.0,5031.0,
2889,e0:55:3d:02:41:21,84:38:35:5a:70:40,31376.0,98.0,tcp,64.0,8.0,334.0,PA,3948039471.0,59562.0,5051.0,140.0
2890,e0:55:3d:02:41:21,84:38:35:5a:70:40,29985.0,52.0,tcp,64.0,8.0,334.0,A,3948039517.0,59562.0,5039.0,
2891,e0:55:3d:02:41:21,84:38:35:5a:70:40,5097.0,52.0,tcp,64.0,8.0,334.0,A,3948039517.0,59562.0,5034.0,
2892,e0:55:3d:02:41:21,84:38:35:5a:70:40,1641.0,52.0,tcp,64.0,8.0,334.0,A,3948039517.0,59562.0,5018.0,
2893,e0:55:3d:02:41:21,84:38:35:5a:70:40,53261.0,342.0,tcp,64.0,8.0,334.0,PA,3948039517.0,59562.0,5051.0,819.0
2894,84:38:35:5a:70:40,e0:55:3d:02:41:21,922.0,52.0,tcp,58.0,8.0,59562.0,A,2606515298.0,334.0,811.0,
2895,84:38:35:5a:70:40,e0:55:3d:02:41:21,923.0,188.0,tcp,58.0,8.0,59562.0,PA,2606515298.0,334.0,811.0,401.0
2896,84:38:35:5a:70:40,e0:55:3d:02:41:21,924.0,726.0,tcp,58.0,8.0,59562.0,PA,2606515434.0,334.0,811.0,1943.0
2897,84:38:35:5a:70:40,e0:55:3d:02:41:21,925.0,98.0,tcp,58.0,8.0,59562.0,PA,2606516108.0,334.0,811.0,158.0
2898,e0:55:3d:02:41:21,84:38:35:5a:70:40,50926.0,52.0,tcp,64.0,8.0,334.0,A,3948039807.0,59562.0,5047.0,
2899,e0:55:3d:02:41:21,84:38:35:5a:70:40,6797.0,52.0,tcp,64.0,8.0,334.0,A,3948039807.0,59562.0,5026.0,
2900,e0:55:3d:02:41:21,84:38:35:5a:70:40,2256.0,52.0,tcp,64.0,8.0,334.0,A,3948039807.0,59562.0,5024.0,
2901,e0:55:3d:02:41:21,84:38:35:5a:70:40,56632.0,98.0,tcp,64.0,8.0,334.0,PA,3948039807.0,59562.0,5051.0,158.0
2902,28:f0:76:31:d3:58,e0:55:3d:02:41:21,36339.0,105.0,tcp,58.0,8.0,65105.0,PA,1376194125.0,334.0,811.0,141.0
2903,84:38:35:5a:70:40,e0:55:3d:02:41:21,979.0,52.0,tcp,58.0,8.0,59562.0,A,2606516154.0,334.0,811.0,
2904,e0:55:3d:02:41:21,28:f0:76:31:d3:58,0.0,52.0,tcp,64.0,8.0,334.0,A,2197251310.0,65105.0,11618.0,
2905,01:80:c2:00:00:00,00:18:0a:7d:01:cf,,,,,,,,,,,8.0
2906,e0:55:3d:02:41:21,00:18:0a:7d:01:ce,16081.0,84.0,icmp,200.0,,,,,,,213.0
2907,00:18:0a:7d:01:ce,e0:55:3d:02:41:21,40699.0,84.0,icmp,58.0,,,,,,,213.0
2908,28:f0:76:31:d3:58,e0:55:3d:02:41:21,0.0,70.0,udp,43.0,,,,,,,119.0
2909,e0:55:3d:02:41:21,88:15:44:aa:47:2e,31526.0,188.0,udp,250.0,,,,,,,482.0
2910,e0:55:3d:02:41:21,88:15:44:aa:47:2e,33820.0,188.0,udp,250.0,,,,,,,468.0
